4_1 valid, Saving 4_1...
4_2 valid, Saving 4_2...
4_3 valid, Saving 4_3...
1_1 valid, Saving 1_1...
4_4 valid, Saving 4_4...
4_5 valid, Saving 4_5...
4_6 valid, Saving 4_6...
1_2 valid, Saving 1_2...
1_3 valid, Saving 1_3...
3_1 valid, Saving 3_1...
2_1 valid, Saving 2_1...
4_7 valid, Saving 4_7...
3_2 valid, Saving 3_2...
4_8 valid, Saving 4_8...
1_4 valid, Saving 1_4...
2_2 valid, Saving 2_2...
3_3 valid, Saving 3_3...
1_5 valid, Saving 1_5...
3_4 valid, Saving 3_4...
3_5 valid, Saving 3_5...
1_6 valid, Saving 1_6...
1_7 valid, Saving 1_7...
2_3 valid, Saving 2_3...
2_4 valid, Saving 2_4...
